iter	RMSE
0	27.77500444
1	26.73430829
2	25.76458615
3	24.87113133
4	24.00599624
5	23.21949136
6	22.48529163
7	21.7682106
8	21.09694002
9	20.46095037
10	19.86713043
11	19.29755656
12	18.7652497
13	18.27078531
14	17.80089072
15	17.36394441
16	16.96253051
17	16.58263215
18	16.22811873
19	15.89002562
20	15.56839592
21	15.27576697
22	14.99451892
23	14.7364266
24	14.48757368
25	14.25850113
26	14.0471495
27	13.84735802
28	13.65674066
29	13.48332477
30	13.32362553
31	13.17073902
32	13.03274413
33	12.90046674
34	12.76417312
35	12.64247142
36	12.53074814
37	12.43332382
38	12.3392254
39	12.25444933
40	12.17722687
41	12.09851912
42	11.99931934
43	11.9066074
44	11.82205023
45	11.75911476
46	11.68278521
47	11.56158792
48	11.50270751
49	11.39154672
50	11.33232122
51	11.28048575
52	11.23697006
53	11.19700056
54	11.14771102
55	11.03780449
56	10.93658584
57	10.84168466
58	10.75582051
59	10.67353577
60	10.59836086
61	10.5282549
62	10.46794776
63	10.40894883
64	10.35157102
65	10.29846903
66	10.24871309
67	10.20733884
68	10.18043829
69	10.11887905
70	10.09595666
71	10.06156282
72	10.01973815
73	9.979439526
74	9.923640103
75	9.875118621
76	9.832415787
77	9.803666478
78	9.776881393
79	9.751339595
80	9.727934215
81	9.694378073
82	9.680861387
83	9.645534547
84	9.630181845
85	9.608119918
86	9.601557733
87	9.581678666
88	9.569262475
89	9.544570546
90	9.531485944
91	9.507322983
92	9.495125595
93	9.486359419
94	9.467164747
95	9.454883735
96	9.44590511
97	9.418279339
98	9.399618639
99	9.386086283
100	9.35868052
101	9.347915348
102	9.336641867
103	9.311281863
104	9.306034573
105	9.294858378
106	9.272781541
107	9.257677398
108	9.244064181
109	9.230765773
110	9.206037433
111	9.183808065
112	9.173631
113	9.159781991
114	9.129834763
115	9.109280579
116	9.080514216
117	9.063399281
118	9.042886941
119	9.030322912
120	9.01541768
121	9.000272099
122	8.991116279
123	8.975387855
124	8.963392968
125	8.948820081
126	8.93887925
127	8.928932621
128	8.907516492
129	8.888135878
130	8.872508287
131	8.858348167
132	8.845411694
133	8.835832057
134	8.832429833
135	8.822635658
136	8.81075497
137	8.789709634
138	8.769591426
139	8.753475872
140	8.734694362
141	8.718088978
142	8.703642837
143	8.69522146
144	8.676547822
145	8.666680702
146	8.658449941
147	8.638883258
148	8.628911473
149	8.617821602
150	8.600372391
151	8.592104774
152	8.581326564
153	8.568495387
154	8.557110837
155	8.542434984
156	8.532745261
157	8.518632162
158	8.510472499
159	8.503450852
160	8.495783015
161	8.489263216
162	8.481713178
163	8.47290607
164	8.465062853
165	8.458333357
166	8.448156319
167	8.444966548
168	8.43890566
169	8.434709829
170	8.418542738
171	8.410118399
172	8.406781881
173	8.40285797
174	8.394866129
175	8.388103912
176	8.382372954
177	8.377441072
178	8.369695286
179	8.343513066
180	8.338170177
181	8.317334163
182	8.30867343
183	8.295727679
184	8.286986611
185	8.278710383
186	8.257870952
187	8.252751104
188	8.243393259
189	8.236858087
190	8.223288769
191	8.216243142
192	8.209236876
193	8.196603939
194	8.189476274
195	8.178515776
196	8.174933493
197	8.161838388
198	8.154889525
199	8.136066291
200	8.113280649
201	8.108490402
202	8.104079661
203	8.096759526
204	8.08438702
205	8.078294525
206	8.063780055
207	8.058722602
208	8.046220394
209	8.042143147
210	8.026739689
211	8.016181078
212	8.005978595
213	8.000594662
214	7.995269238
215	7.987045382
216	7.975127579
217	7.968039815
218	7.95714871
219	7.95279052
220	7.948528158
221	7.932943407
222	7.926159366
223	7.923563093
224	7.916889666
225	7.911457405
226	7.905268345
227	7.889085301
228	7.877937962
229	7.86927825
230	7.861497758
231	7.843577843
232	7.839014292
233	7.836936837
234	7.830631975
235	7.826586991
236	7.819023025
237	7.813964235
238	7.807902484
239	7.796107162
240	7.786030113
241	7.76862895
242	7.755543481
243	7.743778857
244	7.734769693
245	7.727493234
246	7.714852809
247	7.710883145
248	7.702056719
249	7.690680071
250	7.68631274
251	7.685207613
252	7.68167193
253	7.67422883
254	7.664745137
255	7.662117966
256	7.65292802
257	7.648175841
258	7.641394148
259	7.635355504
260	7.630582713
261	7.62575282
262	7.622770546
263	7.61919822
264	7.610200265
265	7.604165415
266	7.598088032
267	7.58834409
268	7.585424829
269	7.575884499
270	7.567467411
271	7.563091317
272	7.555272077
273	7.548611969
274	7.541304439
275	7.538011784
276	7.532304874
277	7.52321579
278	7.516081338
279	7.511504255
280	7.507149949
281	7.498414983
282	7.493860155
283	7.489654276
284	7.484588851
285	7.48247663
286	7.479942778
287	7.472241806
288	7.46758972
289	7.461585897
290	7.457446253
291	7.448906122
292	7.439664168
293	7.438173318
294	7.432459706
295	7.43039095
296	7.426090864
297	7.42141214
298	7.415325669
299	7.40506092
