iter	Passed	Remaining
0	471	70245
1	924	68407
2	1215	59574
3	1518	55440
4	1913	55489
5	2218	53254
6	2549	52085
7	2863	50826
8	3188	49954
9	3514	49202
10	3835	48467
11	4121	47395
12	4444	46837
13	4781	46451
14	5083	45751
15	5423	45423
16	5716	44719
17	6014	44106
18	6294	43400
19	6630	43100
20	6915	42480
21	7213	41967
22	7498	41402
23	7794	40919
24	8071	40355
25	8347	39810
26	8629	39310
27	8923	38881
28	9215	38450
29	9493	37974
30	9776	37529
31	10072	37142
32	10354	36711
33	10655	36355
34	10945	35962
35	11236	35583
36	11518	35178
37	11821	34842
38	12115	34481
39	12404	34111
40	12691	33741
41	12982	33384
42	13280	33047
43	13568	32686
44	13862	32346
45	14162	32019
46	14448	31664
47	14756	31357
48	15047	31016
49	15331	30663
50	15615	30313
51	15892	29952
52	16181	29615
53	16470	29280
54	16754	28939
55	17047	28615
56	17323	28264
57	17630	27965
58	17932	27658
59	18228	27342
60	18521	27023
61	18817	26708
62	19096	26371
63	19406	26077
64	19696	25756
65	19997	25450
66	20287	25131
67	20593	24832
68	20877	24508
69	21185	24212
70	21481	23901
71	21769	23583
72	22055	23263
73	22329	22933
74	22615	22615
75	22899	22296
76	23195	21990
77	23484	21677
78	23771	21364
79	24056	21049
80	24344	20738
81	24651	20442
82	24929	20123
83	25213	19810
84	25495	19496
85	25798	19199
86	26088	18891
87	26402	18601
88	26698	18299
89	26996	17997
90	27293	17696
91	27587	17392
92	27898	17099
93	28194	16796
94	28488	16493
95	28771	16184
96	29062	15879
97	29347	15572
98	29642	15270
99	29936	14968
100	30224	14663
101	30533	14368
102	30749	14031
103	31048	13733
104	31346	13434
105	31636	13132
106	31919	12827
107	32208	12525
108	32521	12233
109	32839	11941
110	33141	11644
111	33432	11343
112	33727	11043
113	34019	10743
114	34304	10440
115	34599	10141
116	34934	9853
117	35223	9552
118	35513	9251
119	35804	8951
120	36088	8649
121	36369	8347
122	36664	8048
123	36948	7747
124	37227	7445
125	37510	7144
126	37796	6845
127	38087	6546
128	38397	6250
129	38684	5951
130	38983	5654
131	39274	5355
132	39574	5058
133	39868	4760
134	40158	4462
135	40444	4163
136	40719	3863
137	41001	3565
138	41298	3268
139	41590	2970
140	41880	2673
141	42169	2375
142	42459	2078
143	42749	1781
144	43039	1484
145	43330	1187
146	43618	890
147	43901	593
148	44199	296
149	44488	0
